[bridge] scenario=center-f0 backend=mock (kinematic stand-in; NOT robosuite SIL) staleness_ms=0
[bridge] scenario=center-f50 backend=mock (kinematic stand-in; NOT robosuite SIL) staleness_ms=50
[bridge] scenario=center-f600 backend=mock (kinematic stand-in; NOT robosuite SIL) staleness_ms=600
[bridge] scenario=left-f0 backend=mock (kinematic stand-in; NOT robosuite SIL) staleness_ms=0
[bridge] scenario=left-f50 backend=mock (kinematic stand-in; NOT robosuite SIL) staleness_ms=50
[bridge] scenario=left-f600 backend=mock (kinematic stand-in; NOT robosuite SIL) staleness_ms=600
[bridge] scenario=right-f0 backend=mock (kinematic stand-in; NOT robosuite SIL) staleness_ms=0
[bridge] scenario=right-f50 backend=mock (kinematic stand-in; NOT robosuite SIL) staleness_ms=50
[bridge] scenario=right-f600 backend=mock (kinematic stand-in; NOT robosuite SIL) staleness_ms=600
[bridge] scenario=near-f0 backend=mock (kinematic stand-in; NOT robosuite SIL) staleness_ms=0
[bridge] scenario=near-f50 backend=mock (kinematic stand-in; NOT robosuite SIL) staleness_ms=50
[bridge] scenario=near-f600 backend=mock (kinematic stand-in; NOT robosuite SIL) staleness_ms=600
[bridge] scenario=far-f0 backend=mock (kinematic stand-in; NOT robosuite SIL) staleness_ms=0
[bridge] scenario=far-f50 backend=mock (kinematic stand-in; NOT robosuite SIL) staleness_ms=50
[bridge] scenario=far-f600 backend=mock (kinematic stand-in; NOT robosuite SIL) staleness_ms=600
[bridge] scenario=estop_descend backend=mock (kinematic stand-in; NOT robosuite SIL) staleness_ms=0
[bridge] scenario=protocol_timeout backend=mock (kinematic stand-in; NOT robosuite SIL) staleness_ms=0
[bridge] scenario requests a 12000 ms pre-proposal stall (protocol-timeout fixture)
